freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20144130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",80000000,2019,KG,47583070,2019,KG,5471621,2019,KG
A,EU27_2020,20144151,Aniline and its salts (excluding derivatives),541632905,2019,KG,47725553,2019,KG,393559274,2019,KG
A,EU27_2020,20144153,Aniline derivatives and their salts,6000000,2019,KG,2457277,2019,KG,15521675,2019,KG
A,EU27_2020,20144159,Other aromatic monoamines and their derivatives; salts thereof,118288762,2019,KG,79354797,2019,KG,21986927,2019,KG
A,EU27_2020,20144170,Aromatic polyamines and their derivatives; salts thereof,29918329,2019,KG,52521836,2019,KG,46602253,2019,KG
A,EU27_2020,20144233,Monoethanolamine and its salts,130584083,2019,KG,16812460,2019,KG,53095570,2019,KG
A,EU27_2020,20144235,Diethanolamine and its salts,44256214,2019,KG,37247162,2019,KG,14369175,2019,KG
A,EU27_2020,20144237,Triethanolamine and its salts,: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20144238,"Amino-alcohols, their ethers and esters with only 1 oxygen function and their salts (excluding monoethanolamine and its salts, diethanolamine and its salts)",243118371,2019,KG,79493017,2019,KG,82756771,2019,KG
A,EU27_2020,20144239,"Amino-alcohols, their ethers and esters with only 1 oxygen function and their salts (excluding monoethanolamine and its salts, diethanolamine and its salts, triethanolamine and its salts)",: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20144290,"Oxygen-function amino-compounds (excluding amino-alcohols, their esters and ethers and salts thereof, lysine and its salts and esters, glutamic acid its salts and esters)",273239320,2019,KG,110926987,2019,KG,312192600,2019,KG
A,EU27_2020,20144310,Ureines and their derivatives; salts thereof,3710796,2019,KG,3526694,2019,KG,2788375,2019,KG
A,EU27_2020,20144320,Saccharin and its salts,630000,2019,KG,1242749,2019,KG,3403122,2019,KG
A,EU27_2020,20144330,"Imides and their derivatives, and salts thereof (excluding saccharin and its salts)",21000000,2019,KG,6388437,2019,KG,11189294,2019,KG
A,EU27_2020,20144340,Imines and their derivatives; and salts thereof,21250892,2019,KG,24783053,2019,KG,23226777,2019,KG
A,EU27_2020,20144350,Acrylonitrile,526728202,2019,KG,22678442,2019,KG,145465139,2019,KG
A,EU27_2020,20144360,1-Cyanoguanidine (dicyandiamide),12000000,2019,KG,4985578,2019,KG,4728240,2019,KG
A,EU27_2020,20144370,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine (dicyandiamide))",300000000,2019,KG,116751497,2019,KG,52317267,2019,KG
A,EU27_2020,20144420,"Diazo-, azo- or azoxy-compounds",2447684,2019,KG,1766746,2019,KG,19597510,2019,KG
