Member,HS_Code,Label_EN,Explanatory_EN
http://data.europa.eu/xsp/cn2024/030243000080,0302.43,"0302 43 -- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
http://data.europa.eu/xsp/cn2024/030244000080,0302.44,"0302 44 00 -- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
http://data.europa.eu/xsp/cn2024/030245000080,0302.45,0302 45 -- Jack and horse mackerel (Trachurus spp.),"Fresh or chilled jack and horse mackerel ""Trachurus spp."""
http://data.europa.eu/xsp/cn2024/030246000080,0302.46,0302 46 00 -- Cobia (Rachycentron canadum),"Fresh or chilled cobia ""Rachycentron canadum"""
http://data.europa.eu/xsp/cn2024/030247000080,0302.47,0302 47 00 -- Swordfish (Xiphias gladius),"Fresh or chilled swordfish ""Xiphias gladius"""
http://data.europa.eu/xsp/cn2024/030249000080,0302.49,0302 49 -- Other,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
http://data.europa.eu/xsp/cn2024/030251000080,0302.51,"0302 51 -- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
http://data.europa.eu/xsp/cn2024/030252000080,0302.52,0302 52 00 -- Haddock (Melanogrammus aeglefinus),"Fresh or chilled haddock ""Melanogrammus aeglefinus"""
http://data.europa.eu/xsp/cn2024/030253000080,0302.53,0302 53 00 -- Coalfish (Pollachius virens),"Fresh or chilled coalfish ""Pollachius virens"""
http://data.europa.eu/xsp/cn2024/030254000080,0302.54,"0302 54 -- Hake (Merluccius spp., Urophycis spp.)","Fresh or chilled hake ""Merluccius spp., Urophycis spp."""
http://data.europa.eu/xsp/cn2024/030255000080,0302.55,0302 55 00 -- Alaska Pollock (Theragra chalcogramma),"Fresh or chilled Alaska pollack ""Theragra chalcogramma"""
http://data.europa.eu/xsp/cn2024/030256000080,0302.56,"0302 56 00 -- Blue whiting (Micromesistius poutassou, Micromesistius australis)","Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis"""
http://data.europa.eu/xsp/cn2024/030259000080,0302.59,0302 59 -- Other,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whitings)"
http://data.europa.eu/xsp/cn2024/030271000080,0302.71,0302 71 00 -- Tilapias (Oreochromis spp.),"Fresh or chilled tilapia ""Oreochromis spp."""
http://data.europa.eu/xsp/cn2024/030272000080,0302.72,"0302 72 00 -- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
http://data.europa.eu/xsp/cn2024/030273000080,0302.73,"0302 73 00 -- Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Fresh or chilled carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
http://data.europa.eu/xsp/cn2024/030274000080,0302.74,0302 74 00 -- Eels (Anguilla spp.),"Fresh or chilled eels ""Anguilla spp."""
http://data.europa.eu/xsp/cn2024/030279000080,0302.79,0302 79 00 -- Other,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."""
http://data.europa.eu/xsp/cn2024/030281000080,0302.81,0302 81 -- Dogfish and other sharks,Fresh or chilled dogfish and other sharks
http://data.europa.eu/xsp/cn2024/030282000080,0302.82,0302 82 00 -- Rays and skates (Rajidae),"Fresh or chilled, rays and skates ""Rajidae"""
http://data.europa.eu/xsp/cn2024/030283000080,0302.83,0302 83 00 -- Toothfish (Dissostichus spp.),"Fresh or chilled toothfish ""Dissostichus spp."""
http://data.europa.eu/xsp/cn2024/030284000080,0302.84,0302 84 -- Sea bass (Dicentrarchus spp.),"Fresh or chilled sea bass ""Dicentrarchus spp."""
http://data.europa.eu/xsp/cn2024/030285000080,0302.85,0302 85 -- Sea bream (Sparidae),"Fresh or chilled sea bream ""Sparidae"""
http://data.europa.eu/xsp/cn2024/030289000080,0302.89,0302 89 -- Other,"Fresh or chilled fish, n.e.s."
